path,label
clothes/clothes344.jpg,clothes
plastic/plastic673.jpg,plastic
biological/biological633.jpg,biological
shoes/shoes957.jpg,shoes
trash/trash274.jpg,trash
metal/metal269.jpg,metal
white-glass/white-glass418.jpg,white-glass
metal/metal11.jpg,metal
biological/biological553.jpg,biological
plastic/plastic317.jpg,plastic
clothes/clothes4295.jpg,clothes
trash/trash18.jpg,trash
clothes/clothes2423.jpg,clothes
shoes/shoes1753.jpg,shoes
clothes/clothes4240.jpg,clothes
clothes/clothes1110.jpg,clothes
shoes/shoes650.jpg,shoes
plastic/plastic759.jpg,plastic
shoes/shoes826.jpg,shoes
clothes/clothes3477.jpg,clothes
clothes/clothes1224.jpg,clothes
clothes/clothes2411.jpg,clothes
trash/trash8.jpg,trash
clothes/clothes2400.jpg,clothes
shoes/shoes1959.jpg,shoes
shoes/shoes537.jpg,shoes
white-glass/white-glass143.jpg,white-glass
battery/battery723.jpg,battery
clothes/clothes333.jpg,clothes
cardboard/cardboard610.jpg,cardboard
cardboard/cardboard180.jpg,cardboard
clothes/clothes3542.jpg,clothes
clothes/clothes3086.jpg,clothes
paper/paper379.jpg,paper
clothes/clothes5260.jpg,clothes
clothes/clothes2744.jpg,clothes
shoes/shoes1161.jpg,shoes
clothes/clothes4058.jpg,clothes
plastic/plastic120.jpg,plastic
shoes/shoes433.jpg,shoes
shoes/shoes590.jpg,shoes
clothes/clothes2350.jpg,clothes
paper/paper1013.jpg,paper
shoes/shoes1876.jpg,shoes
battery/battery618.jpg,battery
biological/biological234.jpg,biological
white-glass/white-glass56.jpg,white-glass
clothes/clothes2615.jpg,clothes
clothes/clothes3283.jpg,clothes
battery/battery462.jpg,battery
battery/battery25.jpg,battery
plastic/plastic628.jpg,plastic
plastic/plastic645.jpg,plastic
battery/battery599.jpg,battery
metal/metal712.jpg,metal
clothes/clothes173.jpg,clothes
shoes/shoes1473.jpg,shoes
paper/paper1007.jpg,paper
shoes/shoes944.jpg,shoes
shoes/shoes949.jpg,shoes
green-glass/green-glass568.jpg,green-glass
cardboard/cardboard825.jpg,cardboard
clothes/clothes2028.jpg,clothes
clothes/clothes3072.jpg,clothes
paper/paper573.jpg,paper
clothes/clothes3642.jpg,clothes
brown-glass/brown-glass428.jpg,brown-glass
shoes/shoes288.jpg,shoes
plastic/plastic595.jpg,plastic
shoes/shoes1054.jpg,shoes
plastic/plastic499.jpg,plastic
white-glass/white-glass235.jpg,white-glass
shoes/shoes1926.jpg,shoes
brown-glass/brown-glass213.jpg,brown-glass
clothes/clothes3462.jpg,clothes
paper/paper94.jpg,paper
cardboard/cardboard296.jpg,cardboard
green-glass/green-glass519.jpg,green-glass
trash/trash136.jpg,trash
shoes/shoes91.jpg,shoes
clothes/clothes5098.jpg,clothes
clothes/clothes2599.jpg,clothes
clothes/clothes4766.jpg,clothes
brown-glass/brown-glass137.jpg,brown-glass
biological/biological833.jpg,biological
clothes/clothes3944.jpg,clothes
cardboard/cardboard445.jpg,cardboard
cardboard/cardboard260.jpg,cardboard
clothes/clothes2680.jpg,clothes
battery/battery63.jpg,battery
cardboard/cardboard335.jpg,cardboard
brown-glass/brown-glass375.jpg,brown-glass
cardboard/cardboard142.jpg,cardboard
brown-glass/brown-glass561.jpg,brown-glass
clothes/clothes4072.jpg,clothes
clothes/clothes409.jpg,clothes
biological/biological321.jpg,biological
shoes/shoes186.jpg,shoes
biological/biological643.jpg,biological
battery/battery500.jpg,battery
clothes/clothes4410.jpg,clothes
shoes/shoes390.jpg,shoes
green-glass/green-glass507.jpg,green-glass
biological/biological932.jpg,biological
paper/paper471.jpg,paper
shoes/shoes732.jpg,shoes
paper/paper687.jpg,paper
clothes/clothes2638.jpg,clothes
paper/paper1017.jpg,paper
trash/trash475.jpg,trash
metal/metal726.jpg,metal
cardboard/cardboard519.jpg,cardboard
shoes/shoes1767.jpg,shoes
plastic/plastic216.jpg,plastic
metal/metal113.jpg,metal
paper/paper4.jpg,paper
plastic/plastic271.jpg,plastic
paper/paper183.jpg,paper
plastic/plastic53.jpg,plastic
clothes/clothes2216.jpg,clothes
clothes/clothes4030.jpg,clothes
plastic/plastic128.jpg,plastic
clothes/clothes711.jpg,clothes
trash/trash175.jpg,trash
brown-glass/brown-glass603.jpg,brown-glass
battery/battery405.jpg,battery
clothes/clothes5321.jpg,clothes
clothes/clothes4854.jpg,clothes
cardboard/cardboard744.jpg,cardboard
clothes/clothes1497.jpg,clothes
shoes/shoes1508.jpg,shoes
metal/metal129.jpg,metal
shoes/shoes1751.jpg,shoes
clothes/clothes2203.jpg,clothes
plastic/plastic551.jpg,plastic
shoes/shoes122.jpg,shoes
shoes/shoes517.jpg,shoes
biological/biological938.jpg,biological
clothes/clothes3234.jpg,clothes
shoes/shoes669.jpg,shoes
shoes/shoes1307.jpg,shoes
clothes/clothes3267.jpg,clothes
shoes/shoes1412.jpg,shoes
clothes/clothes3819.jpg,clothes
